Year;Voivodeship;Sex;ICD10;Age;Count
1999;02;K;C00;0-4;0
1999;02;K;C00;10-14;0
1999;02;K;C00;15-19;0
1999;02;K;C00;20-24;0
1999;02;K;C00;25-29;1
1999;02;K;C00;30-34;0
1999;02;K;C00;35-39;0
1999;02;K;C00;40-44;0
1999;02;K;C00;45-49;0
1999;02;K;C00;5-9;0
1999;02;K;C00;50-54;1
1999;02;K;C00;55-59;0
1999;02;K;C00;60-64;2
1999;02;K;C00;65-69;2
1999;02;K;C00;70-74;1
1999;02;K;C00;75-79;2
1999;02;K;C00;80-84;1
1999;02;K;C00;85+;1
1999;02;K;C01;0-4;0
1999;02;K;C01;10-14;0
1999;02;K;C01;15-19;0
1999;02;K;C01;20-24;0
1999;02;K;C01;25-29;0
1999;02;K;C01;30-34;0
1999;02;K;C01;35-39;0
1999;02;K;C01;40-44;2
1999;02;K;C01;45-49;0
1999;02;K;C01;5-9;0
1999;02;K;C01;50-54;1
1999;02;K;C01;55-59;4
1999;02;K;C01;60-64;1
1999;02;K;C01;65-69;0
1999;02;K;C01;70-74;0
1999;02;K;C01;75-79;0
1999;02;K;C01;80-84;0
1999;02;K;C01;85+;0
1999;02;K;C02;0-4;0
1999;02;K;C02;10-14;0
1999;02;K;C02;15-19;0
1999;02;K;C02;20-24;0
1999;02;K;C02;25-29;0
1999;02;K;C02;30-34;0
1999;02;K;C02;35-39;0
1999;02;K;C02;40-44;0
1999;02;K;C02;45-49;0
1999;02;K;C02;5-9;0
1999;02;K;C02;50-54;1
1999;02;K;C02;55-59;0
1999;02;K;C02;60-64;1
1999;02;K;C02;65-69;0
1999;02;K;C02;70-74;0
1999;02;K;C02;75-79;0
1999;02;K;C02;80-84;0
1999;02;K;C02;85+;0
1999;02;K;C03;0-4;0
1999;02;K;C03;10-14;0
1999;02;K;C03;15-19;0
1999;02;K;C03;20-24;0
1999;02;K;C03;25-29;0
1999;02;K;C03;30-34;0
1999;02;K;C03;35-39;0
1999;02;K;C03;40-44;1
1999;02;K;C03;45-49;1
1999;02;K;C03;5-9;0
1999;02;K;C03;50-54;0
1999;02;K;C03;55-59;0
1999;02;K;C03;60-64;0
1999;02;K;C03;65-69;0
1999;02;K;C03;70-74;0
1999;02;K;C03;75-79;1
1999;02;K;C03;80-84;1
1999;02;K;C03;85+;0
1999;02;K;C04;0-4;0
1999;02;K;C04;10-14;0
1999;02;K;C04;15-19;0
1999;02;K;C04;20-24;0
1999;02;K;C04;25-29;0
1999;02;K;C04;30-34;0
1999;02;K;C04;35-39;0
1999;02;K;C04;40-44;0
1999;02;K;C04;45-49;1
1999;02;K;C04;5-9;0
1999;02;K;C04;50-54;1
1999;02;K;C04;55-59;1
1999;02;K;C04;60-64;0
1999;02;K;C04;65-69;1
1999;02;K;C04;70-74;2
1999;02;K;C04;75-79;2
1999;02;K;C04;80-84;0
1999;02;K;C04;85+;0
1999;02;K;C05;0-4;0
1999;02;K;C05;10-14;0
1999;02;K;C05;15-19;0
1999;02;K;C05;20-24;0
1999;02;K;C05;25-29;0
1999;02;K;C05;30-34;0
1999;02;K;C05;35-39;0
1999;02;K;C05;40-44;1
1999;02;K;C05;45-49;0
1999;02;K;C05;5-9;0
1999;02;K;C05;50-54;0
1999;02;K;C05;55-59;1
1999;02;K;C05;60-64;0
1999;02;K;C05;65-69;1
1999;02;K;C05;70-74;0
1999;02;K;C05;75-79;0
1999;02;K;C05;80-84;0
1999;02;K;C05;85+;1
1999;02;K;C06;0-4;0
1999;02;K;C06;10-14;0
1999;02;K;C06;15-19;0
1999;02;K;C06;20-24;0
1999;02;K;C06;25-29;0
1999;02;K;C06;30-34;0
1999;02;K;C06;35-39;0
1999;02;K;C06;40-44;1
1999;02;K;C06;45-49;0
1999;02;K;C06;5-9;0
1999;02;K;C06;50-54;0
1999;02;K;C06;55-59;0
1999;02;K;C06;60-64;0
1999;02;K;C06;65-69;1
1999;02;K;C06;70-74;1
1999;02;K;C06;75-79;0
1999;02;K;C06;80-84;2
1999;02;K;C06;85+;1
1999;02;K;C07;0-4;0
1999;02;K;C07;10-14;0
1999;02;K;C07;15-19;0
1999;02;K;C07;20-24;1
1999;02;K;C07;25-29;0
1999;02;K;C07;30-34;0
1999;02;K;C07;35-39;1
1999;02;K;C07;40-44;1
1999;02;K;C07;45-49;0
1999;02;K;C07;5-9;0
1999;02;K;C07;50-54;1
1999;02;K;C07;55-59;0
1999;02;K;C07;60-64;0
1999;02;K;C07;65-69;2
1999;02;K;C07;70-74;2
1999;02;K;C07;75-79;1
1999;02;K;C07;80-84;1
1999;02;K;C07;85+;0
1999;02;K;C08;0-4;0
1999;02;K;C08;10-14;0
1999;02;K;C08;15-19;0
1999;02;K;C08;20-24;0
1999;02;K;C08;25-29;0
1999;02;K;C08;30-34;0
1999;02;K;C08;35-39;0
1999;02;K;C08;40-44;1
1999;02;K;C08;45-49;0
1999;02;K;C08;5-9;0
1999;02;K;C08;50-54;0
1999;02;K;C08;55-59;1
1999;02;K;C08;60-64;0
1999;02;K;C08;65-69;0
1999;02;K;C08;70-74;0
1999;02;K;C08;75-79;2
1999;02;K;C08;80-84;0
1999;02;K;C08;85+;0
1999;02;K;C09;0-4;0
1999;02;K;C09;10-14;0
1999;02;K;C09;15-19;0
1999;02;K;C09;20-24;0
1999;02;K;C09;25-29;0
1999;02;K;C09;30-34;0
1999;02;K;C09;35-39;0
1999;02;K;C09;40-44;2
1999;02;K;C09;45-49;1
1999;02;K;C09;5-9;0
1999;02;K;C09;50-54;2
1999;02;K;C09;55-59;0
1999;02;K;C09;60-64;2
1999;02;K;C09;65-69;2
1999;02;K;C09;70-74;3
1999;02;K;C09;75-79;0
1999;02;K;C09;80-84;0
1999;02;K;C09;85+;0
1999;02;K;C10;0-4;0
1999;02;K;C10;10-14;0
1999;02;K;C10;15-19;0
1999;02;K;C10;20-24;0
1999;02;K;C10;25-29;0
1999;02;K;C10;30-34;0
1999;02;K;C10;35-39;0
1999;02;K;C10;40-44;1
1999;02;K;C10;45-49;0
1999;02;K;C10;5-9;0
1999;02;K;C10;50-54;0
1999;02;K;C10;55-59;0
1999;02;K;C10;60-64;0
1999;02;K;C10;65-69;0
1999;02;K;C10;70-74;0
1999;02;K;C10;75-79;0
1999;02;K;C10;80-84;0
1999;02;K;C10;85+;0
1999;02;K;C11;0-4;0
1999;02;K;C11;10-14;0
1999;02;K;C11;15-19;0
1999;02;K;C11;20-24;0
1999;02;K;C11;25-29;0
1999;02;K;C11;30-34;0
1999;02;K;C11;35-39;0
1999;02;K;C11;40-44;1
1999;02;K;C11;45-49;1
1999;02;K;C11;5-9;0
1999;02;K;C11;50-54;0
1999;02;K;C11;55-59;0
1999;02;K;C11;60-64;0
1999;02;K;C11;65-69;1
1999;02;K;C11;70-74;0
1999;02;K;C11;75-79;0
1999;02;K;C11;80-84;1
1999;02;K;C11;85+;1
1999;02;K;C13;0-4;0
1999;02;K;C13;10-14;0
1999;02;K;C13;15-19;0
1999;02;K;C13;20-24;0
1999;02;K;C13;25-29;0
1999;02;K;C13;30-34;0
1999;02;K;C13;35-39;0
1999;02;K;C13;40-44;0
1999;02;K;C13;45-49;0
1999;02;K;C13;5-9;0
1999;02;K;C13;50-54;0
1999;02;K;C13;55-59;0
1999;02;K;C13;60-64;0
1999;02;K;C13;65-69;0
1999;02;K;C13;70-74;1
1999;02;K;C13;75-79;0
1999;02;K;C13;80-84;0
1999;02;K;C13;85+;0
1999;02;K;C14;0-4;0
1999;02;K;C14;10-14;0
1999;02;K;C14;15-19;0
1999;02;K;C14;20-24;0
1999;02;K;C14;25-29;0
1999;02;K;C14;30-34;0
1999;02;K;C14;35-39;0
1999;02;K;C14;40-44;0
1999;02;K;C14;45-49;0
1999;02;K;C14;5-9;0
1999;02;K;C14;50-54;0
1999;02;K;C14;55-59;0
1999;02;K;C14;60-64;1
1999;02;K;C14;65-69;0
1999;02;K;C14;70-74;0
1999;02;K;C14;75-79;0
1999;02;K;C14;80-84;0
1999;02;K;C14;85+;0
1999;02;K;C15;0-4;0
1999;02;K;C15;10-14;0
1999;02;K;C15;15-19;0
1999;02;K;C15;20-24;0
1999;02;K;C15;25-29;0
1999;02;K;C15;30-34;0
1999;02;K;C15;35-39;0
1999;02;K;C15;40-44;0
1999;02;K;C15;45-49;4
1999;02;K;C15;5-9;0
1999;02;K;C15;50-54;1
1999;02;K;C15;55-59;2
1999;02;K;C15;60-64;1
1999;02;K;C15;65-69;3
1999;02;K;C15;70-74;4
1999;02;K;C15;75-79;4
1999;02;K;C15;80-84;1
1999;02;K;C15;85+;0
1999;02;K;C16;0-4;0
1999;02;K;C16;10-14;0
1999;02;K;C16;15-19;0
1999;02;K;C16;20-24;0
1999;02;K;C16;25-29;0
1999;02;K;C16;30-34;1
1999;02;K;C16;35-39;3
1999;02;K;C16;40-44;8
1999;02;K;C16;45-49;8
1999;02;K;C16;5-9;0
1999;02;K;C16;50-54;10
1999;02;K;C16;55-59;8
1999;02;K;C16;60-64;13
1999;02;K;C16;65-69;24
1999;02;K;C16;70-74;39
1999;02;K;C16;75-79;30
1999;02;K;C16;80-84;16
1999;02;K;C16;85+;12
1999;02;K;C17;0-4;0
1999;02;K;C17;10-14;0
1999;02;K;C17;15-19;0
1999;02;K;C17;20-24;0
1999;02;K;C17;25-29;0
1999;02;K;C17;30-34;0
1999;02;K;C17;35-39;0
1999;02;K;C17;40-44;0
1999;02;K;C17;45-49;0
1999;02;K;C17;5-9;0
1999;02;K;C17;50-54;1
1999;02;K;C17;55-59;0
1999;02;K;C17;60-64;0
1999;02;K;C17;65-69;1
1999;02;K;C17;70-74;0
1999;02;K;C17;75-79;0
1999;02;K;C17;80-84;2
1999;02;K;C17;85+;0
1999;02;K;C18;0-4;0
1999;02;K;C18;10-14;0
1999;02;K;C18;15-19;0
1999;02;K;C18;20-24;1
1999;02;K;C18;25-29;0
1999;02;K;C18;30-34;3
1999;02;K;C18;35-39;3
1999;02;K;C18;40-44;10
1999;02;K;C18;45-49;12
1999;02;K;C18;5-9;0
1999;02;K;C18;50-54;20
1999;02;K;C18;55-59;11
1999;02;K;C18;60-64;48
1999;02;K;C18;65-69;33
1999;02;K;C18;70-74;72
1999;02;K;C18;75-79;61
1999;02;K;C18;80-84;23
1999;02;K;C18;85+;16
1999;02;K;C19;0-4;0
1999;02;K;C19;10-14;0
1999;02;K;C19;15-19;0
1999;02;K;C19;20-24;0
1999;02;K;C19;25-29;0
1999;02;K;C19;30-34;0
1999;02;K;C19;35-39;0
1999;02;K;C19;40-44;0
1999;02;K;C19;45-49;0
1999;02;K;C19;5-9;0
1999;02;K;C19;50-54;0
1999;02;K;C19;55-59;0
1999;02;K;C19;60-64;0
1999;02;K;C19;65-69;0
1999;02;K;C19;70-74;1
1999;02;K;C19;75-79;2
1999;02;K;C19;80-84;0
1999;02;K;C19;85+;0
1999;02;K;C20;0-4;0
1999;02;K;C20;10-14;0
1999;02;K;C20;15-19;0
1999;02;K;C20;20-24;0
1999;02;K;C20;25-29;0
1999;02;K;C20;30-34;0
1999;02;K;C20;35-39;1
1999;02;K;C20;40-44;3
1999;02;K;C20;45-49;9
1999;02;K;C20;5-9;0
1999;02;K;C20;50-54;15
1999;02;K;C20;55-59;17
1999;02;K;C20;60-64;21
1999;02;K;C20;65-69;34
1999;02;K;C20;70-74;46
1999;02;K;C20;75-79;27
1999;02;K;C20;80-84;10
1999;02;K;C20;85+;11
1999;02;K;C21;0-4;0
1999;02;K;C21;10-14;0
1999;02;K;C21;15-19;0
1999;02;K;C21;20-24;0
1999;02;K;C21;25-29;0
1999;02;K;C21;30-34;0
1999;02;K;C21;35-39;0
1999;02;K;C21;40-44;0
1999;02;K;C21;45-49;0
1999;02;K;C21;5-9;0
1999;02;K;C21;50-54;0
1999;02;K;C21;55-59;1
1999;02;K;C21;60-64;1
1999;02;K;C21;65-69;0
1999;02;K;C21;70-74;1
1999;02;K;C21;75-79;0
1999;02;K;C21;80-84;0
1999;02;K;C21;85+;1
1999;02;K;C22;0-4;1
1999;02;K;C22;10-14;0
1999;02;K;C22;15-19;0
1999;02;K;C22;20-24;0
1999;02;K;C22;25-29;0
1999;02;K;C22;30-34;0
1999;02;K;C22;35-39;4
1999;02;K;C22;40-44;2
1999;02;K;C22;45-49;5
1999;02;K;C22;5-9;1
1999;02;K;C22;50-54;6
1999;02;K;C22;55-59;4
1999;02;K;C22;60-64;8
1999;02;K;C22;65-69;14
1999;02;K;C22;70-74;18
1999;02;K;C22;75-79;18
1999;02;K;C22;80-84;8
1999;02;K;C22;85+;4
1999;02;K;C23;0-4;0
1999;02;K;C23;10-14;0
1999;02;K;C23;15-19;0
1999;02;K;C23;20-24;0
1999;02;K;C23;25-29;0
1999;02;K;C23;30-34;0
1999;02;K;C23;35-39;0
1999;02;K;C23;40-44;1
1999;02;K;C23;45-49;4
1999;02;K;C23;5-9;0
1999;02;K;C23;50-54;5
1999;02;K;C23;55-59;10
1999;02;K;C23;60-64;12
1999;02;K;C23;65-69;16
1999;02;K;C23;70-74;23
1999;02;K;C23;75-79;21
1999;02;K;C23;80-84;13
1999;02;K;C23;85+;7
1999;02;K;C24;0-4;0
1999;02;K;C24;10-14;0
1999;02;K;C24;15-19;0
1999;02;K;C24;20-24;0
1999;02;K;C24;25-29;0
1999;02;K;C24;30-34;1
1999;02;K;C24;35-39;0
1999;02;K;C24;40-44;0
1999;02;K;C24;45-49;4
1999;02;K;C24;5-9;0
1999;02;K;C24;50-54;2
1999;02;K;C24;55-59;2
1999;02;K;C24;60-64;4
1999;02;K;C24;65-69;2
1999;02;K;C24;70-74;7
1999;02;K;C24;75-79;4
1999;02;K;C24;80-84;2
1999;02;K;C24;85+;2
1999;02;K;C25;0-4;0
1999;02;K;C25;10-14;0
1999;02;K;C25;15-19;0
1999;02;K;C25;20-24;0
1999;02;K;C25;25-29;0
1999;02;K;C25;30-34;0
1999;02;K;C25;35-39;0
1999;02;K;C25;40-44;2
1999;02;K;C25;45-49;6
1999;02;K;C25;5-9;0
1999;02;K;C25;50-54;6
1999;02;K;C25;55-59;5
1999;02;K;C25;60-64;16
1999;02;K;C25;65-69;15
1999;02;K;C25;70-74;25
1999;02;K;C25;75-79;34
1999;02;K;C25;80-84;6
1999;02;K;C25;85+;9
1999;02;K;C26;0-4;0
1999;02;K;C26;10-14;0
1999;02;K;C26;15-19;0
1999;02;K;C26;20-24;0
1999;02;K;C26;25-29;0
1999;02;K;C26;30-34;0
1999;02;K;C26;35-39;0
1999;02;K;C26;40-44;0
1999;02;K;C26;45-49;0
1999;02;K;C26;5-9;0
1999;02;K;C26;50-54;0
1999;02;K;C26;55-59;1
1999;02;K;C26;60-64;0
1999;02;K;C26;65-69;0
1999;02;K;C26;70-74;0
1999;02;K;C26;75-79;2
1999;02;K;C26;80-84;2
1999;02;K;C26;85+;0
1999;02;K;C30;0-4;0
1999;02;K;C30;10-14;0
1999;02;K;C30;15-19;0
1999;02;K;C30;20-24;0
1999;02;K;C30;25-29;0
1999;02;K;C30;30-34;0
1999;02;K;C30;35-39;0
1999;02;K;C30;40-44;0
1999;02;K;C30;45-49;0
1999;02;K;C30;5-9;0
1999;02;K;C30;50-54;0
1999;02;K;C30;55-59;0
1999;02;K;C30;60-64;1
1999;02;K;C30;65-69;2
1999;02;K;C30;70-74;2
1999;02;K;C30;75-79;0
1999;02;K;C30;80-84;0
1999;02;K;C30;85+;1
1999;02;K;C31;0-4;0
1999;02;K;C31;10-14;0
1999;02;K;C31;15-19;0
1999;02;K;C31;20-24;0
1999;02;K;C31;25-29;0
1999;02;K;C31;30-34;0
1999;02;K;C31;35-39;0
1999;02;K;C31;40-44;0
1999;02;K;C31;45-49;0
1999;02;K;C31;5-9;0
1999;02;K;C31;50-54;0
1999;02;K;C31;55-59;0
1999;02;K;C31;60-64;0
1999;02;K;C31;65-69;1
1999;02;K;C31;70-74;0
1999;02;K;C31;75-79;1
1999;02;K;C31;80-84;0
1999;02;K;C31;85+;0
1999;02;K;C32;0-4;0
1999;02;K;C32;10-14;0
1999;02;K;C32;15-19;0
1999;02;K;C32;20-24;0
1999;02;K;C32;25-29;0
1999;02;K;C32;30-34;0
1999;02;K;C32;35-39;1
1999;02;K;C32;40-44;1
1999;02;K;C32;45-49;2
1999;02;K;C32;5-9;0
1999;02;K;C32;50-54;4
1999;02;K;C32;55-59;7
1999;02;K;C32;60-64;6
1999;02;K;C32;65-69;6
1999;02;K;C32;70-74;1
1999;02;K;C32;75-79;0
1999;02;K;C32;80-84;0
1999;02;K;C32;85+;0
1999;02;K;C33;0-4;0
1999;02;K;C33;10-14;0
1999;02;K;C33;15-19;0
1999;02;K;C33;20-24;0
1999;02;K;C33;25-29;0
1999;02;K;C33;30-34;0
1999;02;K;C33;35-39;0
1999;02;K;C33;40-44;0
1999;02;K;C33;45-49;0
1999;02;K;C33;5-9;0
1999;02;K;C33;50-54;0
1999;02;K;C33;55-59;1
1999;02;K;C33;60-64;0
1999;02;K;C33;65-69;0
1999;02;K;C33;70-74;0
1999;02;K;C33;75-79;0
1999;02;K;C33;80-84;0
1999;02;K;C33;85+;0
1999;02;K;C34;0-4;0
1999;02;K;C34;10-14;1
1999;02;K;C34;15-19;0
1999;02;K;C34;20-24;1
1999;02;K;C34;25-29;0
1999;02;K;C34;30-34;2
1999;02;K;C34;35-39;3
1999;02;K;C34;40-44;23
1999;02;K;C34;45-49;35
1999;02;K;C34;5-9;0
1999;02;K;C34;50-54;50
1999;02;K;C34;55-59;37
1999;02;K;C34;60-64;58
1999;02;K;C34;65-69;77
1999;02;K;C34;70-74;83
1999;02;K;C34;75-79;84
1999;02;K;C34;80-84;25
1999;02;K;C34;85+;23
1999;02;K;C37;0-4;0
1999;02;K;C37;10-14;0
1999;02;K;C37;15-19;0
1999;02;K;C37;20-24;0
1999;02;K;C37;25-29;0
1999;02;K;C37;30-34;0
1999;02;K;C37;35-39;0
1999;02;K;C37;40-44;0
1999;02;K;C37;45-49;0
1999;02;K;C37;5-9;0
1999;02;K;C37;50-54;0
1999;02;K;C37;55-59;0
1999;02;K;C37;60-64;0
1999;02;K;C37;65-69;1
1999;02;K;C37;70-74;0
1999;02;K;C37;75-79;0
1999;02;K;C37;80-84;0
1999;02;K;C37;85+;0
1999;02;K;C38;0-4;0
1999;02;K;C38;10-14;0
1999;02;K;C38;15-19;0
1999;02;K;C38;20-24;0
1999;02;K;C38;25-29;0
1999;02;K;C38;30-34;0
1999;02;K;C38;35-39;1
1999;02;K;C38;40-44;1
1999;02;K;C38;45-49;0
1999;02;K;C38;5-9;1
1999;02;K;C38;50-54;3
1999;02;K;C38;55-59;2
1999;02;K;C38;60-64;2
1999;02;K;C38;65-69;3
1999;02;K;C38;70-74;6
1999;02;K;C38;75-79;5
1999;02;K;C38;80-84;1
1999;02;K;C38;85+;1
1999;02;K;C39;0-4;0
1999;02;K;C39;10-14;0
1999;02;K;C39;15-19;0
1999;02;K;C39;20-24;0
1999;02;K;C39;25-29;0
1999;02;K;C39;30-34;0
1999;02;K;C39;35-39;0
1999;02;K;C39;40-44;0
1999;02;K;C39;45-49;0
1999;02;K;C39;5-9;0
1999;02;K;C39;50-54;0
1999;02;K;C39;55-59;0
1999;02;K;C39;60-64;0
1999;02;K;C39;65-69;0
1999;02;K;C39;70-74;1
1999;02;K;C39;75-79;0
1999;02;K;C39;80-84;0
1999;02;K;C39;85+;0
1999;02;K;C40;0-4;0
1999;02;K;C40;10-14;2
1999;02;K;C40;15-19;2
1999;02;K;C40;20-24;0
1999;02;K;C40;25-29;0
1999;02;K;C40;30-34;1
1999;02;K;C40;35-39;0
1999;02;K;C40;40-44;0
1999;02;K;C40;45-49;0
1999;02;K;C40;5-9;0
1999;02;K;C40;50-54;0
1999;02;K;C40;55-59;0
1999;02;K;C40;60-64;0
1999;02;K;C40;65-69;1
1999;02;K;C40;70-74;1
1999;02;K;C40;75-79;1
1999;02;K;C40;80-84;0
1999;02;K;C40;85+;0
1999;02;K;C41;0-4;0
1999;02;K;C41;10-14;0
1999;02;K;C41;15-19;2
1999;02;K;C41;20-24;0
1999;02;K;C41;25-29;0
1999;02;K;C41;30-34;0
1999;02;K;C41;35-39;0
1999;02;K;C41;40-44;1
1999;02;K;C41;45-49;1
1999;02;K;C41;5-9;1
1999;02;K;C41;50-54;1
1999;02;K;C41;55-59;4
1999;02;K;C41;60-64;0
1999;02;K;C41;65-69;3
1999;02;K;C41;70-74;1
1999;02;K;C41;75-79;1
1999;02;K;C41;80-84;0
1999;02;K;C41;85+;0
1999;02;K;C43;0-4;0
1999;02;K;C43;10-14;0
1999;02;K;C43;15-19;1
1999;02;K;C43;20-24;0
1999;02;K;C43;25-29;3
1999;02;K;C43;30-34;1
1999;02;K;C43;35-39;5
1999;02;K;C43;40-44;6
1999;02;K;C43;45-49;15
1999;02;K;C43;5-9;0
1999;02;K;C43;50-54;11
1999;02;K;C43;55-59;3
1999;02;K;C43;60-64;11
1999;02;K;C43;65-69;9
1999;02;K;C43;70-74;6
1999;02;K;C43;75-79;10
1999;02;K;C43;80-84;3
1999;02;K;C43;85+;3
1999;02;K;C44;0-4;1
1999;02;K;C44;10-14;9
1999;02;K;C44;15-19;19
1999;02;K;C44;20-24;17
1999;02;K;C44;25-29;9
1999;02;K;C44;30-34;9
1999;02;K;C44;35-39;15
1999;02;K;C44;40-44;19
1999;02;K;C44;45-49;31
1999;02;K;C44;5-9;2
1999;02;K;C44;50-54;19
1999;02;K;C44;55-59;15
1999;02;K;C44;60-64;20
1999;02;K;C44;65-69;23
1999;02;K;C44;70-74;47
1999;02;K;C44;75-79;40
1999;02;K;C44;80-84;12
1999;02;K;C44;85+;20
1999;02;K;C45;0-4;0
1999;02;K;C45;10-14;0
1999;02;K;C45;15-19;0
1999;02;K;C45;20-24;0
1999;02;K;C45;25-29;0
1999;02;K;C45;30-34;1
1999;02;K;C45;35-39;0
1999;02;K;C45;40-44;0
1999;02;K;C45;45-49;0
1999;02;K;C45;5-9;0
1999;02;K;C45;50-54;1
1999;02;K;C45;55-59;0
1999;02;K;C45;60-64;0
1999;02;K;C45;65-69;1
1999;02;K;C45;70-74;1
1999;02;K;C45;75-79;0
1999;02;K;C45;80-84;0
1999;02;K;C45;85+;0
1999;02;K;C48;0-4;2
1999;02;K;C48;10-14;0
1999;02;K;C48;15-19;0
1999;02;K;C48;20-24;0
1999;02;K;C48;25-29;0
1999;02;K;C48;30-34;0
1999;02;K;C48;35-39;0
1999;02;K;C48;40-44;1
1999;02;K;C48;45-49;0
1999;02;K;C48;5-9;1
1999;02;K;C48;50-54;0
1999;02;K;C48;55-59;0
1999;02;K;C48;60-64;1
1999;02;K;C48;65-69;0
1999;02;K;C48;70-74;2
1999;02;K;C48;75-79;2
1999;02;K;C48;80-84;0
1999;02;K;C48;85+;0
1999;02;K;C49;0-4;0
1999;02;K;C49;10-14;1
1999;02;K;C49;15-19;0
1999;02;K;C49;20-24;0
1999;02;K;C49;25-29;0
1999;02;K;C49;30-34;0
1999;02;K;C49;35-39;1
1999;02;K;C49;40-44;2
1999;02;K;C49;45-49;1
1999;02;K;C49;5-9;0
1999;02;K;C49;50-54;2
1999;02;K;C49;55-59;1
1999;02;K;C49;60-64;3
1999;02;K;C49;65-69;5
1999;02;K;C49;70-74;3
1999;02;K;C49;75-79;2
1999;02;K;C49;80-84;2
1999;02;K;C49;85+;2
1999;02;K;C50;0-4;0
1999;02;K;C50;10-14;0
1999;02;K;C50;15-19;1
1999;02;K;C50;20-24;1
1999;02;K;C50;25-29;2
1999;02;K;C50;30-34;10
1999;02;K;C50;35-39;21
1999;02;K;C50;40-44;78
1999;02;K;C50;45-49;143
1999;02;K;C50;5-9;0
1999;02;K;C50;50-54;117
1999;02;K;C50;55-59;93
1999;02;K;C50;60-64;84
1999;02;K;C50;65-69;118
1999;02;K;C50;70-74;91
1999;02;K;C50;75-79;72
1999;02;K;C50;80-84;22
1999;02;K;C50;85+;14
1999;02;K;C51;0-4;0
1999;02;K;C51;10-14;0
1999;02;K;C51;15-19;0
1999;02;K;C51;20-24;0
1999;02;K;C51;25-29;0
1999;02;K;C51;30-34;0
1999;02;K;C51;35-39;1
1999;02;K;C51;40-44;1
1999;02;K;C51;45-49;0
1999;02;K;C51;5-9;0
1999;02;K;C51;50-54;2
1999;02;K;C51;55-59;1
1999;02;K;C51;60-64;2
1999;02;K;C51;65-69;0
1999;02;K;C51;70-74;4
1999;02;K;C51;75-79;1
1999;02;K;C51;80-84;4
1999;02;K;C51;85+;4
1999;02;K;C52;0-4;0
1999;02;K;C52;10-14;0
1999;02;K;C52;15-19;0
1999;02;K;C52;20-24;0
1999;02;K;C52;25-29;0
1999;02;K;C52;30-34;0
1999;02;K;C52;35-39;0
1999;02;K;C52;40-44;0
1999;02;K;C52;45-49;3
1999;02;K;C52;5-9;0
1999;02;K;C52;50-54;0
1999;02;K;C52;55-59;1
1999;02;K;C52;60-64;2
1999;02;K;C52;65-69;4
1999;02;K;C52;70-74;2
1999;02;K;C52;75-79;2
1999;02;K;C52;80-84;3
1999;02;K;C52;85+;0
1999;02;K;C53;0-4;0
1999;02;K;C53;10-14;0
1999;02;K;C53;15-19;0
1999;02;K;C53;20-24;2
1999;02;K;C53;25-29;4
1999;02;K;C53;30-34;6
1999;02;K;C53;35-39;20
1999;02;K;C53;40-44;36
1999;02;K;C53;45-49;57
1999;02;K;C53;5-9;0
1999;02;K;C53;50-54;41
1999;02;K;C53;55-59;33
1999;02;K;C53;60-64;31
1999;02;K;C53;65-69;33
1999;02;K;C53;70-74;41
1999;02;K;C53;75-79;19
1999;02;K;C53;80-84;7
